Animal_ID,Name,Habitat,Weight_kg,Height_cm,Lifespan_years,Is_Carnivore,Endangered,Speed_kmh,Population_Status,Continent
1,Leo,Savanna,112.67476559478507,244.15764499757813,94.28402409787978,0.0,0.0,22.297942476905742,Stable,North America
2,Tiger,Forest,285.2389347697699,269.866476977813,95.57714339224839,,,73.32503226549554,nan,nan
3,Elephant,Savanna,219.73218557251582,102.22100774184052,91.82698146116306,1.0,0.0,48.80244851256747,Declining,Europe
4,Giraffe,Savanna,179.79821601701246,41.91505811302626,39.535235224522665,1.0,0.0,116.54015574867937,Increasing,Europe
5,Zebra,Forest,47.22758281250974,,5.483835186771273,1.0,1.0,101.84367616060649,Stable,Africa
6,Lion,Savanna,47.22035884069269,133.86125870161433,93.11858200842164,,1.0,101.40780104178086,Stable,Asia
7,Monkey,Savanna,17.896041844375738,247.224282117523,45.105678238462175,,1.0,58.89971337642158,Increasing,Asia
8,Parrot,Forest,259.9197556595931,259.6118691443396,96.79886262819228,1.0,0.0,52.7042427688315,Declining,nan
9,Eagle,Savanna,180.53394601709104,12.016117854045305,96.50751780056828,,,36.44181327203122,Declining,Asia
10,Dolphin,Savanna,212.56773704991562,158.11671774749405,85.88890772486657,1.0,1.0,11.483182114856618,Declining,North America
11,Bear,Forest,6.665056041592833,131.0491909131459,32.26709363868022,1.0,1.0,104.44307326933112,nan,Asia
12,Panda,Savanna,290.9880007225173,74.41126503651178,40.969381945784825,0.0,0.0,98.48361604995893,Stable,nan
13,Penguin,Savanna,249.8165709197263,44.76095652676801,85.70912046561827,,1.0,119.96753242790501,Stable,Asia
14,Wolf,Forest,64.09556364814371,107.90839970705211,34.42451249500266,1.0,,119.61323626349912,Stable,North America
15,Fox,Savanna,54.956577678526635,283.44381413463054,20.27130368186488,1.0,,68.87464614430215,nan,Africa
16,Rabbit,Savanna,55.42965070110343,103.72885028601901,57.45292119600161,,1.0,93.4335527457587,Stable,nan
17,Deer,Forest,91.62055176638155,160.44928030557617,93.87085831943497,0.0,1.0,113.64805893647922,nan,Africa
18,Cheetah,Savanna,157.66455127385524,213.87549807960158,70.81886048079741,0.0,0.0,102.70944992790231,Declining,Africa
19,Rhino,Savanna,129.86753308331367,115.45258468999525,58.72587232857904,1.0,,33.44503170046773,Increasing,Africa
20,Hippo,Forest,87.72312748931355,291.8168039890786,13.32894340199378,,,56.812575560660754,Stable,Europe
21,Crocodile,Savanna,183.74994196935265,289.10971553321224,63.040693763120295,0.0,1.0,19.853332742421923,Stable,Europe
22,Turtle,Savanna,42.27841126528653,83.0168657893556,99.04516961000928,,0.0,114.71586813475307,Declining,Africa
23,Snake,Forest,87.99732223629783,154.2020667087918,17.448065462706307,,,74.7100829618512,Increasing,nan
24,Frog,Savanna,110.22537206646066,97.25470984686321,53.75964662691872,1.0,,31.293922632898212,nan,North America
25,Owl,Savanna,137.09296027300226,92.6037433694656,88.22781490508372,0.0,0.0,82.24557870667353,Increasing,North America
26,Peacock,Forest,235.66020043720758,20.69721473281451,75.11378730440363,1.0,0.0,76.08474765265802,Declining,Asia
27,Ostrich,Savanna,60.30229775642874,186.7736568541701,70.91351113554572,0.0,,46.188712573776655,Declining,nan
28,Camel,Savanna,154.51321430487667,155.77691673636983,71.43847206276249,0.0,,18.059123102957336,Increasing,Europe
29,Llama,Forest,177.9281633741817,24.928837862496913,38.511150517096496,0.0,0.0,82.23091749317196,nan,Africa
30,Alpaca,Savanna,14.41189860963932,90.80747462861731,32.18481704939136,0.0,,64.83538560393623,nan,Asia
31,Horse,Savanna,182.45968314448078,273.3971069303296,81.69867092593731,0.0,1.0,93.81661504959852,Stable,North America
32,Cow,Forest,51.571975044343816,79.47294829342201,81.77088588920135,,1.0,64.81880262787924,nan,Europe
33,Sheep,Savanna,19.982952099091214,52.01951290645469,87.23894258368995,1.0,0.0,103.00087253663212,Increasing,Europe
34,Goat,Savanna,284.6912184073733,151.94130048049328,91.67109304542124,,0.0,68.46928645906584,Declining,Africa
35,Pig,Forest,289.7067939058305,295.8386316920742,53.08887029065003,0.0,0.0,69.50786672656942,Stable,North America
36,Chicken,Savanna,242.6150057608801,80.19602873833512,52.14556428997116,1.0,1.0,105.81516430570967,Stable,nan
37,Duck,Savanna,91.73182386742452,,80.63633718081041,0.0,,51.40052961442566,Declining,Europe
38,Goose,Forest,29.75279814491197,230.8696884453281,66.39653735466545,1.0,1.0,20.411751271823682,nan,Africa
39,Swan,Savanna,205.427791440391,78.91488775779591,71.38882021673952,,,8.31000777603398,Declining,nan
40,Flamingo,Savanna,132.32567187501058,221.18274109743928,80.39609626586571,1.0,1.0,91.84078440246618,nan,North America
41,Penguin,Forest,37.05045133601126,116.65710848858343,89.44051281448637,1.0,,76.33559840564844,Declining,Europe
42,Koala,Savanna,148.80548457832543,193.36869087213805,36.44753505774744,1.0,1.0,85.96917333141072,Increasing,nan
43,Kangaroo,Savanna,10.79936207400791,193.72361612065947,40.05596345343463,1.0,0.0,29.490878573524736,nan,nan
44,Wombat,Forest,272.8414604225952,165.37465838167995,13.022266224723424,1.0,1.0,20.68271969247852,Increasing,nan
45,Emu,Savanna,78.00460448920506,36.18403331577841,59.5148935356327,0.0,,6.672636551806422,Stable,Europe
46,Kiwi,Savanna,198.9254241640176,252.23772372087902,7.45045828448724,1.0,1.0,45.31756926275865,Declining,Europe
47,Albatross,Forest,93.85746728877858,103.0262188418034,48.697409740716175,1.0,1.0,72.8405339882828,Stable,Asia
48,Puffin,Savanna,156.26037234275435,64.09036801595772,56.093884931927356,,1.0,50.10806518646922,Stable,North America
49,Seal,Savanna,164.23972866331226,21.824791050881537,31.507960204315303,1.0,0.0,55.30961603272884,Stable,Africa
50,Walrus,Forest,55.86390942989535,181.35895352459013,60.71999301462503,,1.0,108.97824986678107,Stable,nan
51,Otter,Savanna,290.8905960154853,206.4936649342619,6.928023994148745,0.0,0.0,45.04937870767954,Declining,Asia
52,Beaver,Savanna,232.6522805966538,14.810470389078283,7.585426119924584,1.0,0.0,64.10879125337824,Stable,Africa
